thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,[-0.2688888888888889],[0.04555555555555556],[1],[0],[0],[2.4517507329983346],['target'],0,0,0,0,0.05086456600110978,,5,0.024519933998817578,0.05086456600110978,0.05086456600110978,0.02422069900057977,2.477022571998532,[-0.2688888888888889],[0.04555555555555556],[1],[0],[0],[2.4517507329983346],['target'],598892,001,2024-10-10_13h52.57.827,VISUALSEARCH,2024.2.1,None,2024-10-10 13h53.16.398536 +0530,
1,0,1,[0.14],[0.3933333333333333],[1],[0],[0],[1.359806414002378],['target'],1,0,1,0,2.526603009999235,,10,2.5096789310009626,2.526603009999235,2.526603009999235,0.03239188199950149,3.8701729710010113,[0.14],[0.3933333333333333],[1],[0],[0],[1.359806414002378],['target'],598892,001,2024-10-10_13h52.57.827,VISUALSEARCH,2024.2.1,None,2024-10-10 13h53.16.398536 +0530,
2,0,2,[0.3522222222222222],[0.3522222222222222],[1],[0],[0],[1.0217044790006184],['target'],2,0,2,0,3.9157003200016334,,10,3.899492194999766,3.9157003200016334,3.9157003200016334,0.02903945399884833,4.921742367998377,[0.3522222222222222],[0.3522222222222222],[1],[0],[0],[1.0217044790006184],['target'],598892,001,2024-10-10_13h52.57.827,VISUALSEARCH,2024.2.1,None,2024-10-10 13h53.16.398536 +0530,
3,0,3,[0.04777777777777778],[0.46444444444444444],[1],[0],[0],[1.1574564410002495],['target'],3,0,3,0,4.948430288000964,,5,4.937691425999219,4.948430288000964,4.948430288000964,0.015733547999843722,6.0957714739997755,[0.04777777777777778],[0.46444444444444444],[1],[0],[0],[1.1574564410002495],['target'],598892,001,2024-10-10_13h52.57.827,VISUALSEARCH,2024.2.1,None,2024-10-10 13h53.16.398536 +0530,
4,0,4,[0.3844444444444444],[0.21],[1],[0],[0],[1.3004028589966765],['target'],4,0,4,0,6.14166417800152,,10,6.125486542001454,6.14166417800152,6.14166417800152,0.029550408999057254,7.426284958000906,[0.3844444444444444],[0.21],[1],[0],[0],[1.3004028589966765],['target'],598892,001,2024-10-10_13h52.57.827,VISUALSEARCH,2024.2.1,None,2024-10-10 13h53.16.398536 +0530,
5,0,5,[-0.16],[-0.43333333333333335],[1],[0],[0],[2.009194436002872],['target'],5,0,5,0,7.468483118998847,,10,7.453357155001868,7.468483118998847,7.468483118998847,0.026906950999546098,9.462979347001237,[-0.16],[-0.43333333333333335],[1],[0],[0],[2.009194436002872],['target'],598892,001,2024-10-10_13h52.57.827,VISUALSEARCH,2024.2.1,None,2024-10-10 13h53.16.398536 +0530,
6,0,6,[-0.36],[-0.31222222222222223],[1],[0],[0],[1.7778686150013527],['target'],6,0,6,0,9.506344872999762,,10,9.490897424999275,9.506344872999762,9.506344872999762,0.027753130001656245,11.269271666998975,[-0.36],[-0.31222222222222223],[1],[0],[0],[1.7778686150013527],['target'],598892,001,2024-10-10_13h52.57.827,VISUALSEARCH,2024.2.1,None,2024-10-10 13h53.16.398536 +0530,
7,0,7,[-0.38333333333333336],[-0.32],[1],[0],[0],[1.3988354799985245],['target'],7,0,7,0,11.313315046001662,,10,11.297996689001593,11.313315046001662,11.313315046001662,0.02848680500028422,12.69723862599858,[-0.38333333333333336],[-0.32],[1],[0],[0],[1.3988354799985245],['target'],598892,001,2024-10-10_13h52.57.827,VISUALSEARCH,2024.2.1,None,2024-10-10 13h53.16.398536 +0530,
8,0,8,[0.35555555555555557],[-0.18666666666666668],[1],[0],[0],[2.770254096998542],['target'],8,0,8,0,12.742666772999655,,10,12.726140814000246,12.742666772999655,12.742666772999655,0.02872612300052424,15.496858907001297,[0.35555555555555557],[-0.18666666666666668],[1],[0],[0],[2.770254096998542],['target'],598892,001,2024-10-10_13h52.57.827,VISUALSEARCH,2024.2.1,None,2024-10-10 13h53.16.398536 +0530,
9,0,9,[0.36444444444444446],[0.14888888888888888],[1],[0],[0],[1.191565413002536],['target'],9,0,9,0,15.524489474999427,,5,15.512068563999492,15.524489474999427,15.524489474999427,0.015026380002382211,16.704525226999976,[0.36444444444444446],[0.14888888888888888],[1],[0],[0],[1.191565413002536],['target'],598892,001,2024-10-10_13h52.57.827,VISUALSEARCH,2024.2.1,None,2024-10-10 13h53.16.398536 +0530,
10,0,10,[-0.3844444444444444],[-0.021111111111111112],[1],[0],[0],[1.696575257999939],['target'],10,0,10,0,16.75236180000138,,10,16.736165348000213,16.75236180000138,16.75236180000138,0.031422283998836065,18.433128764001594,[-0.3844444444444444],[-0.021111111111111112],[1],[0],[0],[1.696575257999939],['target'],598892,001,2024-10-10_13h52.57.827,VISUALSEARCH,2024.2.1,None,2024-10-10 13h53.16.398536 +0530,
11,0,11,[-0.18],[-0.1988888888888889],[1],[0],[0],[1.4119433560008474],['target'],11,0,11,0,18.462113740999484,,5,18.44994443199903,18.462113740999484,18.462113740999484,0.01666159800151945,19.86237162800171,[-0.18],[-0.1988888888888889],[1],[0],[0],[1.4119433560008474],['target'],598892,001,2024-10-10_13h52.57.827,VISUALSEARCH,2024.2.1,None,2024-10-10 13h53.16.398536 +0530,
12,0,12,[0.056666666666666664],[0.18222222222222223],[1],[0],[0],[1.6452754189995176],['target'],12,0,12,0,19.90854272800061,,10,19.89159151200147,19.90854272800061,19.90854272800061,0.029092250999383396,21.5377314139987,[0.056666666666666664],[0.18222222222222223],[1],[0],[0],[1.6452754189995176],['target'],598892,001,2024-10-10_13h52.57.827,VISUALSEARCH,2024.2.1,None,2024-10-10 13h53.16.398536 +0530,
13,0,13,[0.056666666666666664],[-0.4411111111111111],[1],[0],[0],[1.8776424160023453],['target'],13,0,13,0,21.579519972001435,,10,21.564441611000802,21.579519972001435,21.579519972001435,0.026547831999778282,23.442752339000435,[0.056666666666666664],[-0.4411111111111111],[1],[0],[0],[1.8776424160023453],['target'],598892,001,2024-10-10_13h52.57.827,VISUALSEARCH,2024.2.1,None,2024-10-10 13h53.16.398536 +0530,
14,0,14,[-0.10333333333333333],[0.14],[1],[0],[0],[1.5379314369965869],['target'],14,0,14,0,23.491199705000327,,10,23.475330421999388,23.491199705000327,23.491199705000327,0.032333030001609586,25.01375466999889,[-0.10333333333333333],[0.14],[1],[0],[0],[1.5379314369965869],['target'],598892,001,2024-10-10_13h52.57.827,VISUALSEARCH,2024.2.1,None,2024-10-10 13h53.16.398536 +0530,
15,0,15,[0.14],[0.14666666666666667],[1],[0],[0],[1.069469261001359],['target'],15,0,15,0,25.041676846001792,,5,25.029197638999904,25.041676846001792,25.041676846001792,0.015244648999214405,26.09917028199925,[0.14],[0.14666666666666667],[1],[0],[0],[1.069469261001359],['target'],598892,001,2024-10-10_13h52.57.827,VISUALSEARCH,2024.2.1,None,2024-10-10 13h53.16.398536 +0530,
16,0,16,[-0.33],[0.08555555555555555],[1],[0],[0],[1.3452395189997333],['target'],16,0,16,0,26.127639603000716,,5,26.11600963100136,26.127639603000716,26.127639603000716,0.016645971998514142,27.4620042739989,[-0.33],[0.08555555555555555],[1],[0],[0],[1.3452395189997333],['target'],598892,001,2024-10-10_13h52.57.827,VISUALSEARCH,2024.2.1,None,2024-10-10 13h53.16.398536 +0530,
17,0,17,[0.43555555555555553],[-0.2966666666666667],[1],[0],[0],[1.6692701969986956],['target'],17,0,17,0,27.491631412998686,,5,27.480609730999277,27.491631412998686,27.491631412998686,0.018228925997391343,29.15037612499873,[0.43555555555555553],[-0.2966666666666667],[1],[0],[0],[1.6692701969986956],['target'],598892,001,2024-10-10_13h52.57.827,VISUALSEARCH,2024.2.1,None,2024-10-10 13h53.16.398536 +0530,
18,0,18,[-0.14333333333333334],[0.10111111111111111],[1],[0],[0],[1.8035395849983615],['target'],18,0,18,0,29.194372745998407,,10,29.17865062800047,29.194372745998407,29.194372745998407,0.028150743997684913,30.982673075999628,[-0.14333333333333334],[0.10111111111111111],[1],[0],[0],[1.8035395849983615],['target'],598892,001,2024-10-10_13h52.57.827,VISUALSEARCH,2024.2.1,None,2024-10-10 13h53.16.398536 +0530,
19,0,19,[0.10111111111111111],[-0.36444444444444446],[1],[0],[0],[1.5328153379996365],['target'],19,0,19,0,31.02748788399913,,10,31.012023433999275,31.02748788399913,31.02748788399913,0.02914212299947394,32.54540782500044,[0.10111111111111111],[-0.36444444444444446],[1],[0],[0],[1.5328153379996365],['target'],598892,001,2024-10-10_13h52.57.827,VISUALSEARCH,2024.2.1,None,2024-10-10 13h53.16.398536 +0530,
20,0,20,[0.44333333333333336],[-0.11222222222222222],[1],[0],[0],[1.2356235160004871],['target'],20,0,20,0,32.571714452999004,,5,32.56005773400102,32.571714452999004,32.571714452999004,0.01448144000096363,33.79606370200054,[0.44333333333333336],[-0.11222222222222222],[1],[0],[0],[1.2356235160004871],['target'],598892,001,2024-10-10_13h52.57.827,VISUALSEARCH,2024.2.1,None,2024-10-10 13h53.16.398536 +0530,
21,0,21,[0.4444444444444444],[0.13444444444444445],[1],[0],[0],[1.4387850479979534],['target'],21,0,21,0,33.84044896400155,,10,33.824128217998805,33.84044896400155,33.84044896400155,0.0279396279984212,35.26334572699852,[0.4444444444444444],[0.13444444444444445],[1],[0],[0],[1.4387850479979534],['target'],598892,001,2024-10-10_13h52.57.827,VISUALSEARCH,2024.2.1,None,2024-10-10 13h53.16.398536 +0530,
22,0,22,[-0.16444444444444445],[0.3055555555555556],[1],[0],[0],[1.3886303469989798],['target'],22,0,22,0,35.29161949099944,,5,35.279163168001105,35.29161949099944,35.29161949099944,0.015641465000953758,36.6683555540003,[-0.16444444444444445],[0.3055555555555556],[1],[0],[0],[1.3886303469989798],['target'],598892,001,2024-10-10_13h52.57.827,VISUALSEARCH,2024.2.1,None,2024-10-10 13h53.16.398536 +0530,
23,0,23,[-0.04],[0.03],[1],[0],[0],[1.250759595001],['target'],23,0,23,0,36.71152947800147,,10,36.69620192599905,36.71152947800147,36.71152947800147,0.027704257001460064,37.94739924199894,[-0.04],[0.03],[1],[0],[0],[1.250759595001],['target'],598892,001,2024-10-10_13h52.57.827,VISUALSEARCH,2024.2.1,None,2024-10-10 13h53.16.398536 +0530,
24,0,24,[-0.2966666666666667],[0.06],[1],[0],[0],[1.1312307589978445],['target'],24,0,24,0,37.976858925998386,,5,37.96382526000161,37.976858925998386,37.976858925998386,0.01625239200075157,39.09566123499826,[-0.2966666666666667],[0.06],[1],[0],[0],[1.1312307589978445],['target'],598892,001,2024-10-10_13h52.57.827,VISUALSEARCH,2024.2.1,None,2024-10-10 13h53.16.398536 +0530,
25,0,25,[0.17],[-0.24666666666666667],[1],[0],[0],[1.5627426049977657],['target'],25,0,25,0,39.12594170800003,,5,39.11336345499876,39.12594170800003,39.12594170800003,0.017504935000033583,40.676791426998534,[0.17],[-0.24666666666666667],[1],[0],[0],[1.5627426049977657],['target'],598892,001,2024-10-10_13h52.57.827,VISUALSEARCH,2024.2.1,None,2024-10-10 13h53.16.398536 +0530,
26,0,26,[-0.41444444444444445],[0.07777777777777778],[1],[0],[0],[1.3748233600017556],['target'],26,0,26,0,40.72646696499942,,10,40.711070440000185,40.72646696499942,40.72646696499942,0.034026515000732616,42.08669261999967,[-0.41444444444444445],[0.07777777777777778],[1],[0],[0],[1.3748233600017556],['target'],598892,001,2024-10-10_13h52.57.827,VISUALSEARCH,2024.2.1,None,2024-10-10 13h53.16.398536 +0530,
27,0,27,[-0.25222222222222224],[0.4066666666666667],[1],[0],[0],[2.031765780000569],['target'],27,0,27,0,42.129374315998575,,10,42.113907992999884,42.129374315998575,42.129374315998575,0.026878936998400604,44.14624599099989,[-0.25222222222222224],[0.4066666666666667],[1],[0],[0],[2.031765780000569],['target'],598892,001,2024-10-10_13h52.57.827,VISUALSEARCH,2024.2.1,None,2024-10-10 13h53.16.398536 +0530,
28,0,28,[-0.31],[-0.45555555555555555],[1],[0],[0],[1.8000948959997913],['target'],28,0,28,0,44.17255581399877,,5,44.16164307099825,44.17255581399877,44.17255581399877,0.015222328001982532,45.96234462099892,[-0.31],[-0.45555555555555555],[1],[0],[0],[1.8000948959997913],['target'],598892,001,2024-10-10_13h52.57.827,VISUALSEARCH,2024.2.1,None,2024-10-10 13h53.16.398536 +0530,
29,0,29,[0.16555555555555557],[-0.21444444444444444],[1],[0],[0],[1.4318089290027274],['target'],29,0,29,0,46.009679201000836,,10,45.994088421000924,46.009679201000836,46.009679201000836,0.031539305000478635,47.42633082300017,[0.16555555555555557],[-0.21444444444444444],[1],[0],[0],[1.4318089290027274],['target'],598892,001,2024-10-10_13h52.57.827,VISUALSEARCH,2024.2.1,None,2024-10-10 13h53.16.398536 +0530,
30,0,30,[0.10555555555555556],[-0.2966666666666667],[1],[0],[0],[0.9774978040004498],['target'],30,0,30,0,47.45211964700138,,5,47.44086729199989,47.45211964700138,47.45211964700138,0.014348617998621194,48.418994046998705,[0.10555555555555556],[-0.2966666666666667],[1],[0],[0],[0.9774978040004498],['target'],598892,001,2024-10-10_13h52.57.827,VISUALSEARCH,2024.2.1,None,2024-10-10 13h53.16.398536 +0530,
31,0,31,[0.47444444444444445],[-0.4411111111111111],[1],[0],[0],[2.1207616309984587],['target'],31,0,31,0,48.46344046100057,,10,48.44797284800006,48.46344046100057,48.46344046100057,0.028797867998946458,50.56922340099845,[0.47444444444444445],[-0.4411111111111111],[1],[0],[0],[2.1207616309984587],['target'],598892,001,2024-10-10_13h52.57.827,VISUALSEARCH,2024.2.1,None,2024-10-10 13h53.16.398536 +0530,
32,0,32,[-0.04777777777777778],[-0.35333333333333333],[1],[0],[0],[1.999238761000015],['target'],32,0,32,0,50.613233665000735,,10,50.597250021000946,50.613233665000735,50.613233665000735,0.027653780998662114,52.59690189699904,[-0.04777777777777778],[-0.35333333333333333],[1],[0],[0],[1.999238761000015],['target'],598892,001,2024-10-10_13h52.57.827,VISUALSEARCH,2024.2.1,None,2024-10-10 13h53.16.398536 +0530,
33,0,33,[0.3411111111111111],[0.17777777777777778],[1],[0],[0],[1.7482749650007463],['target'],33,0,33,0,52.62332317699838,,5,52.6117287800007,52.62332317699838,52.62332317699838,0.014645937997556757,54.360458442999516,[0.3411111111111111],[0.17777777777777778],[1],[0],[0],[1.7482749650007463],['target'],598892,001,2024-10-10_13h52.57.827,VISUALSEARCH,2024.2.1,None,2024-10-10 13h53.16.398536 +0530,
34,0,34,[0.12],[-0.26222222222222225],[1],[0],[0],[1.4030491979974613],['target'],34,0,34,0,54.387947194001754,,5,54.37486097299916,54.387947194001754,54.387947194001754,0.01425972699871636,55.77841427000021,[0.12],[-0.26222222222222225],[1],[0],[0],[1.4030491979974613],['target'],598892,001,2024-10-10_13h52.57.827,VISUALSEARCH,2024.2.1,None,2024-10-10 13h53.16.398536 +0530,
35,0,35,[0.21222222222222223],[0.015555555555555555],[1],[0],[0],[1.4081861419981578],['target'],35,0,35,0,55.823290295000334,,10,55.8072761350013,55.823290295000334,55.823290295000334,0.02868622999812942,57.21600349000073,[0.21222222222222223],[0.015555555555555555],[1],[0],[0],[1.4081861419981578],['target'],598892,001,2024-10-10_13h52.57.827,VISUALSEARCH,2024.2.1,None,2024-10-10 13h53.16.398536 +0530,
36,0,36,[-0.12555555555555556],[-0.3511111111111111],[1],[0],[0],[1.7297615879979276],['target'],36,0,36,0,57.26321213100164,,10,57.24791383499905,57.26321213100164,57.26321213100164,0.03169564500058186,58.978103245000966,[-0.12555555555555556],[-0.3511111111111111],[1],[0],[0],[1.7297615879979276],['target'],598892,001,2024-10-10_13h52.57.827,VISUALSEARCH,2024.2.1,None,2024-10-10 13h53.16.398536 +0530,
