thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,up,1,0.6616281179958605,None,0,0,0,0,0,0.03181938600027934,,0.025180733005981892,0.03181938600027934,1.0033190829999512,1.0281896920059808,1.686491307002143,up,1,0.6616281179958605,None,0,501695,001,2024-09-17_10h54.30.561,Signaldetection_experiment,2024.2.1,119.81225371033554,2024-09-17 10h54.39.028359 +0530,
1,0,1,down,1,0.5979956689989194,None,-5,1,0,1,0,1.7128955670050345,,1.6867861920036376,1.7128955670050345,2.679286315003992,2.7057658080011606,3.2845237299989094,down,1,0.5979956689989194,None,-5,501695,001,2024-09-17_10h54.30.561,Signaldetection_experiment,2024.2.1,119.81225371033554,2024-09-17 10h54.39.028359 +0530,
2,0,2,up,1,0.6071569020059542,None,0,2,0,2,0,3.2893157250000513,,3.28474639000342,3.2893157250000513,4.281630648001737,4.289443256006052,4.892648642002314,up,1,0.6071569020059542,None,0,501695,001,2024-09-17_10h54.30.561,Signaldetection_experiment,2024.2.1,119.81225371033554,2024-09-17 10h54.39.028359 +0530,
3,0,3,up,1,0.685561673999473,None,0,3,0,3,0,4.898928660004458,,4.892875953999464,4.898928660004458,5.913414085000113,5.913414085000113,6.602785751005285,up,1,0.685561673999473,None,0,501695,001,2024-09-17_10h54.30.561,Signaldetection_experiment,2024.2.1,119.81225371033554,2024-09-17 10h54.39.028359 +0530,
4,0,4,up,1,0.473597547999816,None,0,4,0,4,0,6.615361275005853,,6.603129255003296,6.615361275005853,7.610200802999316,7.633682626001246,8.090363351999258,up,1,0.473597547999816,None,0,501695,001,2024-09-17_10h54.30.561,Signaldetection_experiment,2024.2.1,119.81225371033554,2024-09-17 10h54.39.028359 +0530,
5,0,5,up,1,0.5653678849994321,None,0,5,0,5,0,8.106825414004561,,8.090703494999616,8.106825414004561,9.097682582003472,9.12131216400303,9.66617720600334,up,1,0.5653678849994321,None,0,501695,001,2024-09-17_10h54.30.561,Signaldetection_experiment,2024.2.1,119.81225371033554,2024-09-17 10h54.39.028359 +0530,
6,0,6,up,0,0.6793733060039813,None,3,6,0,6,0,9.674560949999432,,9.666614166999352,9.674560949999432,10.66391250500601,10.672745718002261,11.350700253002287,up,0,0.6793733060039813,None,3,501695,001,2024-09-17_10h54.30.561,Signaldetection_experiment,2024.2.1,119.81225371033554,2024-09-17 10h54.39.028359 +0530,
7,0,7,down,0,0.6547907589992974,None,0,7,0,7,0,11.356081169004028,,11.350922145000368,11.356081169004028,12.347592033002002,12.347592033002002,13.011899542005267,down,0,0.6547907589992974,None,0,501695,001,2024-09-17_10h54.30.561,Signaldetection_experiment,2024.2.1,119.81225371033554,2024-09-17 10h54.39.028359 +0530,
8,0,8,up,0,0.6429893050008104,None,1,8,0,8,0,13.01671619600529,,13.012147317000199,13.01671619600529,14.006780323004932,14.01455667600385,14.653775411999959,up,0,0.6429893050008104,None,1,501695,001,2024-09-17_10h54.30.561,Signaldetection_experiment,2024.2.1,119.81225371033554,2024-09-17 10h54.39.028359 +0530,
9,0,9,up,1,0.7387286049997783,None,0,9,0,9,0,14.660696733000805,,14.654047451003862,14.660696733000805,15.64850977199967,15.656628285003535,16.395317353999417,up,1,0.7387286049997783,None,0,501695,001,2024-09-17_10h54.30.561,Signaldetection_experiment,2024.2.1,119.81225371033554,2024-09-17 10h54.39.028359 +0530,
