word_study,thisN,thisTrialN,thisRepN,slider.response,slider.rt,word_practice,reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
book,0,0,0,1.9955555555555555,1.610104682000383,,,,,,,,,,,,0,0,0,2,,,,,0.08295414600070217,,0.025637423001171555,0.08295414600070217,0.08295414600070217,1.6557341600000655,1.9955555555555555,1.610104682000383,,,,,,,,,,,,,,,779691,001,2024-10-28_14h50.14.415,WordPriming Experiment,2024.2.1,57.997450907508586,2024-10-28 14h50.23.505633 +0530,
marble,1,1,0,1.9955555555555555,1.3693984099991212,,,,,,,,,,,,0,1,1,12,,,,,1.684662138000931,,1.665559602999565,1.684662138000931,1.684662138000931,3.0530759829998715,1.9955555555555555,1.3693984099991212,,,,,,,,,,,,,,,779691,001,2024-10-28_14h50.14.415,WordPriming Experiment,2024.2.1,57.997450907508586,2024-10-28 14h50.23.505633 +0530,
police,2,2,0,2.9866666666666664,1.5629432149999047,,,,,,,,,,,,0,2,2,13,,,,,3.0781212719994073,,3.0591862910005148,3.0781212719994073,3.0781212719994073,4.642993180999838,2.9866666666666664,1.5629432149999047,,,,,,,,,,,,,,,779691,001,2024-10-28_14h50.14.415,WordPriming Experiment,2024.2.1,57.997450907508586,2024-10-28 14h50.23.505633 +0530,
piano ,3,3,0,4.013333333333334,1.4587397070008592,,,,,,,,,,,,0,3,3,4,,,,,4.666733150999789,,4.6483406700008345,4.666733150999789,4.666733150999789,6.129135641000175,4.013333333333334,1.4587397070008592,,,,,,,,,,,,,,,779691,001,2024-10-28_14h50.14.415,WordPriming Experiment,2024.2.1,57.997450907508586,2024-10-28 14h50.23.505633 +0530,
cake,4,4,0,1,1.6805418870007998,,,,,,,,,,,,0,4,4,7,,,,,6.153301284000918,,6.133650092000607,6.153301284000918,6.153301284000918,7.835384547999638,1,1.6805418870007998,,,,,,,,,,,,,,,779691,001,2024-10-28_14h50.14.415,WordPriming Experiment,2024.2.1,57.997450907508586,2024-10-28 14h50.23.505633 +0530,
cushion,5,5,0,2.013333333333333,1.1396048800015706,,,,,,,,,,,,0,5,5,3,,,,,7.862403817000086,,7.843391551999957,7.862403817000086,7.862403817000086,9.003542692000337,2.013333333333333,1.1396048800015706,,,,,,,,,,,,,,,779691,001,2024-10-28_14h50.14.415,WordPriming Experiment,2024.2.1,57.997450907508586,2024-10-28 14h50.23.505633 +0530,
tiger,6,6,0,1.0,1.1486820629997965,,,,,,,,,,,,0,6,6,1,,,,,9.030326604999573,,9.011048375999962,9.030326604999573,9.030326604999573,10.17910835800103,1.0,1.1486820629997965,,,,,,,,,,,,,,,779691,001,2024-10-28_14h50.14.415,WordPriming Experiment,2024.2.1,57.997450907508586,2024-10-28 14h50.23.505633 +0530,
poster,7,7,0,2.968888888888889,1.002895850000641,,,,,,,,,,,,0,7,7,10,,,,,10.202522052999484,,10.183939679000105,10.202522052999484,10.202522052999484,11.206518970000616,2.968888888888889,1.002895850000641,,,,,,,,,,,,,,,779691,001,2024-10-28_14h50.14.415,WordPriming Experiment,2024.2.1,57.997450907508586,2024-10-28 14h50.23.505633 +0530,
mouse,8,8,0,4.004444444444444,1.4059663200005161,,,,,,,,,,,,0,8,8,5,,,,,11.231833374000416,,11.212248035999437,11.231833374000416,11.231833374000416,12.638527963999877,4.004444444444444,1.4059663200005161,,,,,,,,,,,,,,,779691,001,2024-10-28_14h50.14.415,WordPriming Experiment,2024.2.1,57.997450907508586,2024-10-28 14h50.23.505633 +0530,
vase,9,9,0,3.9955555555555557,0.9090397330000997,,,,,,,,,,,,0,9,9,0,,,,,12.664087414001187,,12.644954544999564,12.664087414001187,12.664087414001187,13.575694772000134,3.9955555555555557,0.9090397330000997,,,,,,,,,,,,,,,779691,001,2024-10-28_14h50.14.415,WordPriming Experiment,2024.2.1,57.997450907508586,2024-10-28 14h50.23.505633 +0530,
