stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.029988262002007104,,0.013634816001285799,0.029988262002007104,0.5084828170001856,0.5084828170001856,0.5483528420008952,0.8126975650011445,1.5195887830050196,left,-10.0,1,1,0.9867709150057635,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
1,2,8.0,1.5374438440048834,,1.5198534529990866,1.5374438440048834,2.0140612160030287,2.0140612160030287,2.0309856989988475,2.313767675004783,2.4490919900053996,right,8.0,1,1,0.43176089999906253,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
2,2,6.0,2.4579007770007593,,2.449338604004879,2.4579007770007593,2.9467524540013983,2.9467524540013983,2.9467524540013983,3.241689155998756,3.4331380290022935,left,-6.0,1,1,0.4821910460013896,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
3,2,4.0,3.4411598760052584,,3.4334113750010147,3.4411598760052584,3.9307446110033197,3.9307446110033197,3.9307446110033197,4.22520097400411,4.3610666430031415,right,4.0,1,1,0.4197257490013726,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
4,2,2.0,4.366895473001932,,4.361337529000593,4.366895473001932,4.858153462999326,4.858153462999326,4.864352839002095,5.1472678990030545,5.326834648003569,left,-2.0,1,1,0.4578144430051907,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
5,2,1.0,5.332309315999737,,5.3270511090013315,5.332309315999737,5.824925074004568,5.824925074004568,5.831063105004432,6.11389854799927,6.459802693003439,right,1.0,1,1,0.6233899369981373,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
6,1,1.0,6.464800431000185,,6.460011202005262,6.464800431000185,6.958133915999497,6.958133915999497,6.964704066005652,7.247089741002128,7.410527357998944,right,1.0,0,0,0.44286407600156963,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
7,1,2.0,7.415778793001664,,7.410777228004008,7.415778793001664,7.908017157998984,7.908017157998984,7.914488586000516,8.19661056699988,8.693462235998595,left,-2.0,1,1,0.7719385870004771,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
8,1,2.0,8.703569736004283,,8.693708013001014,8.703569736004283,9.187643041004776,9.187643041004776,9.198623961005069,9.48193172700121,9.768594844004838,right,2.0,1,1,0.5693812730023637,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
9,1,2.0,9.774521021005057,,9.768856760005292,9.774521021005057,10.265275434001524,10.265275434001524,10.27133062700159,10.565500513002917,10.839990926004248,right,2.0,1,1,0.5699855990023934,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
10,1,1.0,10.848097043002781,,10.840235777999624,10.848097043002781,11.337903247003851,11.337903247003851,11.337903247003851,11.6484411440033,11.840297596005257,left,-1.0,1,1,0.4971060169991688,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
11,1,1.0,11.847674746000848,,11.840503334002278,11.847674746000848,12.337321587001497,12.337321587001497,12.337321587001497,12.631458822004788,12.967771158000687,left,-1.0,1,1,0.6190712839961634,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
12,1,1.0,12.972779689000163,,12.967979220004054,12.972779689000163,13.465607746999012,13.465607746999012,13.471870888999547,13.753484585999104,14.034617839999555,right,1.0,1,1,0.55887140899722,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
13,1,1.0,14.040028436000284,,14.03483082800085,14.040028436000284,14.532103244004247,14.532103244004247,14.538380899000913,14.820417472001282,15.150701578000735,right,1.0,1,1,0.6053497629982303,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
14,1,1.0,15.155894893003278,,15.150912556004187,15.155894893003278,15.664537709002616,15.664537709002616,15.664537709002616,15.95441460100119,16.239887705,left,-1.0,1,1,0.5726100860047154,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
