stim1,stim2,stim3,correctAns,difficulty,thisN,thisTrialN,thisRepN,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instruction_text.started,start_key.started,instructions.stopped,start_key.keys,start_key.rt,start_key.duration,fixation.started,fixation_cross.started,fixation.stopped,time_condition,odd_out_routine.started,word_one.started,word_two.started,word_three.started,key_resp_2.started,odd_out_routine.stopped,trials_2.key_resp_2.keys,fixation_cross.stopped,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,instruction.started,text.started,text.stopped,instruction.stopped,cc.started,text_countdown.started,cc.stopped,fixation_2.started,fixation_cross_2.started,fixation_2.stopped,odd_out_routine_2.started,word_one_2.started,word_two_2.started,word_three_2.started,key_resp_3.started,odd_out_routine_2.stopped,trials.key_resp_3.keys,trials.key_resp_3.rt,trials.key_resp_3.duration,fixation_cross_2.stopped,EndInstruction.started,text_2.started,text_2.stopped,EndInstruction.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,0.0062026000014157034,0.023617601000296418,0.023617601000296418,1.2326586510025663,space,0.9858268719981425,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612683,001,2024-12-03_15h47.57.248,OddOneOut_Experiment,2024.2.1,None,2024-12-03 15h48.14.733415 +0530,
sunflower,winter,rain,1,easy,0,0,0,None,,,,,,0,0,0,9,,,,,1.2676692759996513,,,,,,,,,1.2453668029993423,1.2676692759996513,1.7330631869990611,Pressure,1.7448581650023698,1.7550838929964812,1.7550838929964812,1.7550838929964812,1.7550838929964812,3.718409608998627,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,612683,001,2024-12-03_15h47.57.248,OddOneOut_Experiment,2024.2.1,None,2024-12-03 15h48.14.733415 +0530,
apple,banana,pencil,3,easy,1,1,0,3,1.0170255749981152,None,,,,0,1,1,3,,,,,3.726928078001947,,,,,,,,,3.718862371999421,3.726928078001947,4.2115237890029675,Pressure,4.220555628999136,4.234357414999977,4.234357414999977,4.234357414999977,4.234357414999977,5.25306880199787,3,4.226643449001131,1.0170255749981152,None,,,,,,,,,,,,,,,,,,,,,,,,,612683,001,2024-12-03_15h47.57.248,OddOneOut_Experiment,2024.2.1,None,2024-12-03 15h48.14.733415 +0530,
sofa,table,lamp,3,medium,2,2,0,None,,,,,,0,2,2,4,,,,,5.260931536999124,,,,,,,,,5.25328528600221,5.260931536999124,5.746250304000569,Pressure,5.756986442997004,5.764716931000294,5.764716931000294,5.764716931000294,5.764716931000294,7.742665097001009,None,5.764716931000294,,,,,,,,,,,,,,,,,,,,,,,,,,,612683,001,2024-12-03_15h47.57.248,OddOneOut_Experiment,2024.2.1,None,2024-12-03 15h48.14.733415 +0530,
cat,dog,lion,2,hard,3,3,0,2,1.1186073739954736,None,,,,0,3,3,2,,,,,7.761108669998066,,,,,,,,,7.743093477001821,7.761108669998066,8.249556199996732,Pressure,8.260202887999185,8.267225117000635,8.267225117000635,8.267225117000635,8.267225117000635,9.394075885000348,2,8.267225117000635,1.1186073739954736,None,,,,,,,,,,,,,,,,,,,,,,,,,612683,001,2024-12-03_15h47.57.248,OddOneOut_Experiment,2024.2.1,None,2024-12-03 15h48.14.733415 +0530,
pluto,earth,mars,1,hard,4,4,0,1,1.504938129997754,None,,,,0,4,4,5,,,,,9.403972888998396,,,,,,,,,9.394333725998877,9.403972888998396,9.893293692999578,Pressure,9.901569487003144,9.90954702199815,9.90954702199815,9.90954702199815,9.90954702199815,11.418724442999519,1,9.90954702199815,1.504938129997754,None,,,,,,,,,,,,,,,,,,,,,,,,,612683,001,2024-12-03_15h47.57.248,OddOneOut_Experiment,2024.2.1,None,2024-12-03 15h48.14.733415 +0530,
octopus ,penguin,squid,2,hard,5,5,0,2,1.2767664849961875,None,,,,0,5,5,14,,,,,11.429036695997638,,,,,,,,,11.41899360500247,11.429036695997638,11.917745847000333,Pressure,11.93015731000196,11.93758516899834,11.93758516899834,11.93758516899834,11.93758516899834,13.218909319002705,2,11.93758516899834,1.2767664849961875,None,,,,,,,,,,,,,,,,,,,,,,,,,612683,001,2024-12-03_15h47.57.248,OddOneOut_Experiment,2024.2.1,None,2024-12-03 15h48.14.733415 +0530,
trumpet ,flute,violin,3,hard,6,6,0,3,1.034098907999578,None,,,,0,6,6,8,,,,,13.229076556999644,,,,,,,,,13.21909781699651,13.229076556999644,13.717807651002659,Pressure,13.729401288997906,13.737157274998026,13.737157274998026,13.737157274998026,13.737157274998026,14.77638178000052,3,13.737157274998026,1.034098907999578,None,,,,,,,,,,,,,,,,,,,,,,,,,612683,001,2024-12-03_15h47.57.248,OddOneOut_Experiment,2024.2.1,None,2024-12-03 15h48.14.733415 +0530,
fish,bird,shark,2,medium,7,7,0,2,1.7437436250038445,None,,,,0,7,7,7,,,,,14.792907982999168,,,,,,,,,14.776556133998383,14.792907982999168,15.27880800999992,Pressure,15.287510809997912,15.295457590997103,15.295457590997103,15.295457590997103,15.295457590997103,17.0453383569984,2,,1.7437436250038445,None,,,,,,,,,,,,,,,,,,,,,,,,,612683,001,2024-12-03_15h47.57.248,OddOneOut_Experiment,2024.2.1,None,2024-12-03 15h48.14.733415 +0530,
bicycle,apple ,train,2,easy,8,8,0,3,1.4641190709953662,None,,,,0,8,8,6,,,,,17.056148834999476,,,,,,,,,17.04559771899949,17.056148834999476,17.543628703999275,Pressure,17.55260365799768,17.560130676996778,17.560130676996778,17.560130676996778,17.560130676996778,19.02775776800263,3,17.560130676996778,1.4641190709953662,None,,,,,,,,,,,,,,,,,,,,,,,,,612683,001,2024-12-03_15h47.57.248,OddOneOut_Experiment,2024.2.1,None,2024-12-03 15h48.14.733415 +0530,
